idx,idm,errors
0,232,3.5762786865234375e-07
1,231,1.7881393432617188e-07
2,179,0.0
3,233,2.384185791015625e-07
4,189,4.76837158203125e-07
5,202,0.0
6,237,0.0
7,241,4.76837158203125e-07
8,269,4.172325134277344e-07
9,271,1.1920928955078125e-07
10,272,1.1920928955078125e-07
11,273,2.384185791015625e-07
12,276,3.5762786865234375e-07
13,282,1.1920928955078125e-07
14,283,4.76837158203125e-07
15,284,1.7881393432617188e-07
16,285,0.0
17,286,0.0
18,287,0.0
19,288,4.76837158203125e-07
20,289,0.0
21,290,0.0
22,291,0.0
23,294,2.384185791015625e-07
24,295,1.1920928955078125e-07
25,296,0.0
26,297,4.76837158203125e-07
27,298,4.76837158203125e-07
28,299,0.0
29,300,4.76837158203125e-07
30,301,0.0
31,302,0.0
32,303,0.0
33,304,0.0
34,306,2.384185791015625e-07
35,307,0.0
36,308,4.76837158203125e-07
37,309,0.0
38,310,0.0
39,311,0.0
40,312,0.0
41,314,0.0
42,315,4.76837158203125e-07
43,316,0.0
44,317,0.0
45,318,0.0
46,319,0.0
47,356,0.0
48,357,0.0
49,359,4.76837158203125e-07
50,360,0.0
51,313,0.0
52,363,0.0
53,364,0.0
54,365,0.0
55,366,0.0
56,367,9.5367431640625e-07
57,368,0.0
58,369,0.0
59,370,0.0
60,409,1.4901161193847656e-07
61,410,0.0
62,411,0.0
63,361,0.0
64,414,0.0
65,415,0.0
66,416,0.0
67,417,0.0
68,418,0.0
69,419,0.0
70,420,0.0
71,421,0.0
72,463,0.0
73,464,0.0
74,465,0.0
75,461,0.0
76,466,4.76837158203125e-07
77,467,0.0
78,468,0.0
79,469,9.5367431640625e-07
80,470,0.0
81,471,0.0
82,472,0.0
83,473,0.0
84,505,0.0
85,506,0.0
86,507,0.0
87,508,0.0
88,509,9.5367431640625e-07
89,510,0.0
90,511,0.0
91,512,0.0
92,513,0.0
93,514,0.0
94,515,0.0
95,516,0.0
96,458,3.5762786865234375e-07
97,548,3.5762786865234375e-07
98,550,0.0
99,551,4.76837158203125e-07
100,552,0.0
101,553,0.0
102,554,0.0
103,555,0.0
104,556,0.0
105,592,2.384185791015625e-07
106,591,3.5390257835388184e-07
107,593,0.0
108,595,0.0
109,596,0.0
110,597,0.0
111,598,0.0
112,599,0.0
113,600,9.5367431640625e-07
114,601,0.0
115,637,0.0
116,594,0.0
117,638,0.0
118,639,4.76837158203125e-07
119,640,0.0
120,641,0.0
121,642,0.0
122,643,0.0
123,644,0.0
124,683,4.76837158203125e-07
125,684,0.0
126,685,2.384185791015625e-07
127,686,0.0
128,687,0.0
129,688,0.0
130,689,0.0
131,690,0.0
132,691,0.0
133,692,0.0
134,693,0.0
135,732,0.0
136,730,0.0
137,733,1.1920928955078125e-07
138,734,0.0
139,735,0.0
140,736,0.0
141,737,0.0
142,738,0.0
143,769,4.76837158203125e-07
144,770,0.0
145,771,4.76837158203125e-07
146,772,0.0
147,773,0.0
148,774,0.0
149,775,0.0
150,776,0.0
151,777,0.0
152,816,0.0
153,817,0.0
154,818,2.384185791015625e-07
155,819,0.0
156,820,0.0
157,821,0.0
158,822,0.0
159,823,0.0
160,861,0.0
161,862,0.0
162,865,0.0
163,866,0.0
164,867,0.0
165,868,0.0
166,869,0.0
167,870,4.76837158203125e-07
168,871,0.0
169,872,0.0
170,873,0.0
171,915,4.76837158203125e-07
172,916,0.0
173,917,0.0
174,918,4.76837158203125e-07
175,919,0.0
176,920,0.0
177,921,0.0
178,922,0.0
179,955,0.0
180,956,0.0
181,958,0.0
182,959,2.384185791015625e-07
183,960,4.76837158203125e-07
184,961,0.0
185,962,0.0
186,963,0.0
187,1010,0.0
188,1009,0.0
189,1012,0.0
190,1014,1.1920928955078125e-07
191,1015,0.0
192,1016,4.76837158203125e-07
193,1017,4.76837158203125e-07
194,1018,0.0
195,1019,0.0
196,1020,0.0
197,1061,0.0
198,1062,0.0
199,1064,0.0
200,1065,4.76837158203125e-07
201,1066,0.0
202,1067,0.0
203,1068,4.76837158203125e-07
204,1110,4.76837158203125e-07
205,1111,4.76837158203125e-07
206,1115,9.5367431640625e-07
207,1116,0.0
208,1118,0.0
209,1119,0.0
210,1120,0.0
211,1121,9.5367431640625e-07
212,1153,0.0
213,1154,0.0
214,1155,9.5367431640625e-07
215,1158,0.0
216,1159,0.0
217,1157,2.384185791015625e-07
218,1160,4.76837158203125e-07
219,1161,9.5367431640625e-07
220,1204,0.0
221,1207,0.0
222,1210,4.76837158203125e-07
223,1212,4.76837158203125e-07
224,1213,4.76837158203125e-07
225,1248,0.0
226,1249,4.76837158203125e-07
227,1252,0.0
228,1251,4.76837158203125e-07
229,8107,4.76837158203125e-07
